Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered,Size
16-04-2020,Andhra Pradesh,15.9129,79.74,525,14,20,42,0,4,162975
17-04-2020,Andhra Pradesh,15.9129,79.74,572,14,36,47,0,16,162975
18-04-2020,Andhra Pradesh,15.9129,79.74,572,14,36,0,0,0,162975
19-04-2020,Andhra Pradesh,15.9129,79.74,603,15,42,31,0,6,162975
20-04-2020,Andhra Pradesh,15.9129,79.74,646,15,42,43,0,0,162975
21-04-2020,Andhra Pradesh,15.9129,79.74,722,20,92,76,0,50,162975
22-04-2020,Andhra Pradesh,15.9129,79.74,757,22,96,35,0,4,162975
23-04-2020,Andhra Pradesh,15.9129,79.74,813,24,120,56,0,24,162975
24-04-2020,Andhra Pradesh,15.9129,79.74,895,27,141,82,0,21,162975
25-04-2020,Andhra Pradesh,15.9129,79.74,955,29,145,60,0,4,162975
26-04-2020,Andhra Pradesh,15.9129,79.74,1061,31,171,106,0,26,162975
27-04-2020,Andhra Pradesh,15.9129,79.74,1097,31,231,36,0,60,162975
28-04-2020,Andhra Pradesh,15.9129,79.74,1183,31,235,86,0,4,162975
29-04-2020,Andhra Pradesh,15.9129,79.74,1259,31,258,76,0,23,162975
30-04-2020,Andhra Pradesh,15.9129,79.74,1332,31,287,73,0,29,162975
01-05-2020,Andhra Pradesh,15.9129,79.74,1403,31,321,71,0,34,162975
02-05-2020,Andhra Pradesh,15.9129,79.74,1463,33,403,60,0,82,162975
03-05-2020,Andhra Pradesh,15.9129,79.74,1525,33,441,62,0,38,162975
04-05-2020,Andhra Pradesh,15.9129,79.74,1583,33,488,58,0,47,162975
05-05-2020,Andhra Pradesh,15.9129,79.74,1650,36,524,67,0,36,162975
06-05-2020,Andhra Pradesh,15.9129,79.74,1717,36,589,67,0,65,162975
07-05-2020,Andhra Pradesh,15.9129,79.74,1777,36,729,60,0,140,162975
08-05-2020,Andhra Pradesh,15.9129,79.74,1847,38,780,70,0,51,162975
09-05-2020,Andhra Pradesh,15.9129,79.74,1887,41,842,40,0,62,162975
10-05-2020,Andhra Pradesh,15.9129,79.74,1930,44,887,43,0,45,162975
11-05-2020,Andhra Pradesh,15.9129,79.74,1980,45,925,50,0,38,162975
12-05-2020,Andhra Pradesh,15.9129,79.74,2018,45,975,38,0,50,162975
13-05-2020,Andhra Pradesh,15.9129,79.74,2090,46,1056,72,0,81,162975
14-05-2020,Andhra Pradesh,15.9129,79.74,2137,47,1142,47,0,86,162975
15-05-2020,Andhra Pradesh,15.9129,79.74,2205,48,1192,68,0,50,162975
16-05-2020,Andhra Pradesh,15.9129,79.74,2307,48,1252,102,0,60,162975
17-05-2020,Andhra Pradesh,15.9129,79.74,2355,49,1353,48,0,101,162975
18-05-2020,Andhra Pradesh,15.9129,79.74,2407,50,1456,52,0,103,162975
19-05-2020,Andhra Pradesh,15.9129,79.74,2474,50,1552,67,0,96,162975
20-05-2020,Andhra Pradesh,15.9129,79.74,2532,52,1621,58,0,69,162975
21-05-2020,Andhra Pradesh,15.9129,79.74,2602,53,1640,70,0,19,162975
22-05-2020,Andhra Pradesh,15.9129,79.74,2647,53,1709,45,0,69,162975
23-05-2020,Andhra Pradesh,15.9129,79.74,2709,55,1763,62,0,54,162975
24-05-2020,Andhra Pradesh,15.9129,79.74,2757,56,1809,48,0,46,162975
25-05-2020,Andhra Pradesh,15.9129,79.74,2823,56,1856,66,0,47,162975
26-05-2020,Andhra Pradesh,15.9129,79.74,3110,56,1896,287,0,40,162975
27-05-2020,Andhra Pradesh,15.9129,79.74,3171,57,2009,61,0,113,162975
28-05-2020,Andhra Pradesh,15.9129,79.74,3171,58,2057,0,0,48,162975
29-05-2020,Andhra Pradesh,15.9129,79.74,3251,59,2125,80,0,68,162975
30-05-2020,Andhra Pradesh,15.9129,79.74,3436,60,2226,185,0,101,162975
31-05-2020,Andhra Pradesh,15.9129,79.74,3569,60,2289,133,0,63,162975
01-06-2020,Andhra Pradesh,15.9129,79.74,3679,62,2349,110,0,60,162975
02-06-2020,Andhra Pradesh,15.9129,79.74,3783,64,2378,104,0,29,162975
03-06-2020,Andhra Pradesh,15.9129,79.74,3898,64,2421,115,0,43,162975
04-06-2020,Andhra Pradesh,15.9129,79.74,4080,68,2466,182,0,45,162975
05-06-2020,Andhra Pradesh,15.9129,79.74,4223,71,2539,143,0,73,162975
06-06-2020,Andhra Pradesh,15.9129,79.74,4303,73,2576,80,0,37,162975
07-06-2020,Andhra Pradesh,15.9129,79.74,4510,73,2620,207,0,44,162975
08-06-2020,Andhra Pradesh,15.9129,79.74,4708,75,2682,198,0,62,162975
09-06-2020,Andhra Pradesh,15.9129,79.74,4851,75,2745,143,0,63,162975
10-06-2020,Andhra Pradesh,15.9129,79.74,5070,77,2802,219,0,57,162975
11-06-2020,Andhra Pradesh,15.9129,79.74,5269,78,2899,199,0,97,162975
12-06-2020,Andhra Pradesh,15.9129,79.74,5429,80,3048,160,0,149,162975
13-06-2020,Andhra Pradesh,15.9129,79.74,5680,80,3105,251,0,57,162975
14-06-2020,Andhra Pradesh,15.9129,79.74,5965,82,3195,285,0,90,162975
15-06-2020,Andhra Pradesh,15.9129,79.74,6163,84,3314,198,0,119,162975
16-06-2020,Andhra Pradesh,15.9129,79.74,6456,88,3316,293,0,2,162975
17-06-2020,Andhra Pradesh,15.9129,79.74,6841,88,3509,385,0,193,162975
18-06-2020,Andhra Pradesh,15.9129,79.74,7071,90,3641,230,0,132,162975
19-06-2020,Andhra Pradesh,15.9129,79.74,7518,92,3789,447,0,148,162975
20-06-2020,Andhra Pradesh,15.9129,79.74,7961,96,3917,443,0,128,162975
21-06-2020,Andhra Pradesh,15.9129,79.74,8452,101,4111,491,0,194,162975
22-06-2020,Andhra Pradesh,15.9129,79.74,8999,106,4331,547,0,220,162975
23-06-2020,Andhra Pradesh,15.9129,79.74,9372,111,4495,373,0,164,162975
24-06-2020,Andhra Pradesh,15.9129,79.74,10002,119,4599,630,0,104,162975
25-06-2020,Andhra Pradesh,15.9129,79.74,10331,124,4779,329,0,180,162975
27-06-2020,Andhra Pradesh,15.9129,79.74,11489,148,5196,1158,0,417,162975
28-06-2020,Andhra Pradesh,15.9129,79.74,12285,157,5480,796,0,284,162975
29-06-2020,Andhra Pradesh,15.9129,79.74,13241,169,5908,956,0,428,162975
30-06-2020,Andhra Pradesh,15.9129,79.74,13891,180,6232,650,0,324,162975
02-07-2020,Andhra Pradesh,15.9129,79.74,15252,193,6988,1361,0,756,162975
03-07-2020,Andhra Pradesh,15.9129,79.74,16097,198,7313,845,0,325,162975
05-07-2020,Andhra Pradesh,15.9129,79.74,17699,218,8008,1602,0,695,162975
07-07-2020,Andhra Pradesh,15.9129,79.74,20019,239,8920,2320,0,912,162975
08-07-2020,Andhra Pradesh,15.9129,79.74,21197,252,9745,1178,0,825,162975
09-07-2020,Andhra Pradesh,15.9129,79.74,22259,264,11101,1062,0,1356,162975
10-07-2020,Andhra Pradesh,15.9129,79.74,23814,277,12154,1555,0,1053,162975
11-07-2020,Andhra Pradesh,15.9129,79.74,25422,292,13194,1608,0,1040,162975
12-07-2020,Andhra Pradesh,15.9129,79.74,27235,309,14393,1813,0,1199,162975
13-07-2020,Andhra Pradesh,15.9129,79.74,29168,328,15412,1933,0,1019,162975
14-07-2020,Andhra Pradesh,15.9129,79.74,31103,365,16464,1935,0,1052,162975
15-07-2020,Andhra Pradesh,15.9129,79.74,33019,408,17467,1916,0,1003,162975
16-07-2020,Andhra Pradesh,15.9129,79.74,35451,452,18378,2432,0,911,162975
17-07-2020,Andhra Pradesh,15.9129,79.74,35451,452,18378,0,0,0,162975
18-07-2020,Andhra Pradesh,15.9129,79.74,40646,534,20298,5195,0,1920,162975
19-07-2020,Andhra Pradesh,15.9129,79.74,44609,586,21763,3963,0,1465,162975
20-07-2020,Andhra Pradesh,15.9129,79.74,49650,642,22890,5041,0,1127,162975
21-07-2020,Andhra Pradesh,15.9129,79.74,53724,696,24228,4074,0,1338,162975
22-07-2020,Andhra Pradesh,15.9129,79.74,58668,758,25574,4944,0,1346,162975
23-07-2020,Andhra Pradesh,15.9129,79.74,64713,823,32127,6045,0,6553,162975
24-07-2020,Andhra Pradesh,15.9129,79.74,72711,884,37555,7998,0,5428,162975
25-07-2020,Andhra Pradesh,15.9129,79.74,80858,933,39935,8147,0,2380,162975
26-07-2020,Andhra Pradesh,15.9129,79.74,88671,985,43255,7813,0,3320,162975
27-07-2020,Andhra Pradesh,15.9129,79.74,96298,1041,46301,7627,0,3046,162975
28-07-2020,Andhra Pradesh,15.9129,79.74,102349,1090,49558,6051,0,3257,162975
29-07-2020,Andhra Pradesh,15.9129,79.74,110297,1148,52622,7948,0,3064,162975
30-07-2020,Andhra Pradesh,15.9129,79.74,120390,1213,55406,10093,0,2784,162975
31-07-2020,Andhra Pradesh,15.9129,79.74,130557,1281,60024,10167,0,4618,162975
01-08-2020,Andhra Pradesh,15.9129,79.74,140933,1349,63864,10376,0,3840,162975
02-08-2020,Andhra Pradesh,15.9129,79.74,150209,1407,76614,9276,0,12750,162975
03-08-2020,Andhra Pradesh,15.9129,79.74,158764,1474,82886,8555,0,6272,162975
04-08-2020,Andhra Pradesh,15.9129,79.74,166586,1537,88672,7822,0,5786,162975
05-08-2020,Andhra Pradesh,15.9129,79.74,176333,1604,95625,9747,0,6953,162975
06-08-2020,Andhra Pradesh,15.9129,79.74,186461,1681,104354,10128,0,8729,162975
03-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
04-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
05-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
06-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
07-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
08-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
09-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
10-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
11-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
12-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
13-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
14-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
15-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
16-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
17-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
18-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
19-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
20-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
21-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,0,0,0,0,83743
22-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,1,0,0,1,83743
